id,price
0,14493.635
1,15745.876
2,985.463
3,444.736
4,3572.9
5,1874.3492833333332
6,849.848
7,4843.423333333333
8,680.19
9,4362.88
10,8380.55
11,3931.833
12,503.859
13,952.114
14,4203.386
15,7853.18
16,2198.707
17,1913.6433333333334
18,2333.263
19,16769.208
20,4866.859
21,5302.929
22,7190.345
23,1068.407
24,1287.655
25,870.735
26,2884.065
27,626.464
28,1784.097
29,4813.089
30,4462.312
31,895.9354500000002
32,5663.2262
33,883.238
34,3541.783
35,551.613
36,611.8865
37,2114.643
38,2962.848
39,522.4485999999999
40,945.266
41,4561.274
42,2800.59
43,6612.535
44,4133.468
45,3452.281
46,8195.054
47,1911.787
48,11664.804
49,643.942
50,2104.56
51,708.723
52,8622.727666666668
53,3362.383
54,9975.781
55,6876.036
56,700.1153333333333
57,759.733
58,4963.9952
59,6634.09
60,3982.738
61,811.474
62,17251.872
63,10824.143
64,2727.439
65,6363.685
66,952.756
67,1963.556
68,8849.395
69,987.155
70,3868.396
71,534.479
72,1206.408
73,943.773
74,3943.103
75,2696.927
76,1404.027
77,1878.285
78,4055.979
79,5811.889
80,644.442
81,1112.154
82,1324.26
83,1252.439
84,4798.212
85,757.7
86,668.153
87,2174.28
88,2881.033
89,11526.13
90,1693.067
91,588.038
92,456.15
93,496.71
94,3521.784
95,12903.1415
96,759.32
97,1867.79
98,416.326
99,2368.557
100,672.498
101,517.898
102,2410.811
103,4042.1806071428564
104,771.419
105,5654.922
106,957.856
107,5980.781
108,5151.244
109,16663.628
110,15878.939
111,1054.056
112,4085.503
113,4316.647
114,2974.187
115,857.395
116,659.965
117,1672.271
118,4579.768
119,1591.811
120,1152.498
121,585.0005
122,17280.461
123,4450.65
124,3473.599
125,5211.847
126,9623.107
127,10992.486
128,754.9041500000001
129,515.6685
130,2447.078
131,2944.322
132,5471.58
133,6289.624
134,5882.365
135,2936.559
136,707.682
137,998.176
138,1053.287
139,3807.248
140,8692.553
141,4692.069
142,5160.464
143,1503.681
144,15096.084
145,12923.4195
146,477.366
147,11216.407
148,3485.18
149,2698.653
150,3876.171
151,2088.498
152,7702.067
153,1787.379
154,5330.212
155,4624.012
156,2143.084
157,3882.559
158,3213.316333333333
159,6794.479
160,2529.608466666666
161,10207.403
162,758.919
163,3717.101
164,1395.962
165,833.787
166,1014.788
167,590.518
168,2532.9695
169,719.252
170,14967.62
171,770.436
172,586.1004285714287
173,2716.25
174,16341.409
175,1456.839
176,1758.942
177,3270.593
178,1190.48
179,4067.514
180,3490.878
181,1020.3544499999999
182,464.975
183,11083.713
184,1048.052
185,1296.413
186,738.617
187,4001.19
188,4458.372
189,970.397
190,2250.693
191,4102.806
192,2639.311
193,2660.501
194,965.401
195,774.692
196,698.201
197,16062.437
198,5261.095
199,7992.430166666667
200,1031.072
201,16285.263
202,3857.855
203,5069.718
204,4974.097
205,4693.578
206,13574.742
207,1324.495
208,3464.859
209,4951.049
210,7735.778
211,2056.42
212,4672.8138
213,982.1618333333332
214,1317.842
215,14471.743
216,820.409
217,9879.344
218,11462.517
219,2177.979
220,1195.736
221,11250.60175
222,973.748
223,12049.369
224,2339.956
225,2863.139
226,4692.721
227,8491.524
228,6293.243
229,9251.624
230,1981.164
231,662.374
232,479.964
233,13545.875
234,3107.041
235,1055.681
236,462.016
237,15123.17555952381
238,2500.342333333333
239,521.222
240,3372.899
241,548.034
242,9094.75
243,1188.716
244,6596.252
245,775.5546666666667
246,441.477
247,11587.5969
248,4630.27
249,4353.54
250,1625.034
251,1085.364
252,3079.764
253,1859.066
254,13202.3964
255,4051.65
256,727.999
257,7338.008750000001
258,1104.8743452380954
259,2752.565
260,738.917
261,5323.099
262,13939.061
263,815.333
264,1796.936
265,876.216
266,5539.957
267,3978.5269999999996
268,3729.669
269,1040.674
270,11739.05
271,8530.868100000002
272,3910.713
273,1687.204
274,8475.919
275,5761.767
276,1057.419
277,10664.785
278,1311.246
279,568.6142857142856
280,4871.246166666667
281,3680.916
282,472.334
283,645.668
284,1770.487
